neighbourhood,nb_number,est_kwh,base_kwh,age_factor,consumption_score,renter_pct,renter_score,income_score,dominant_type
Princess-Rosethorn,10.0,14164.0,10451.0,1.3552,1.0,0.1513,0.0891,0.3406,Single detached
Runnymede-Bloor West Village,89.0,13800.0,9499.0,1.4528,0.9563,0.2201,0.174,0.3059,Single detached
Lawrence Park North,105.0,13260.0,9637.0,1.3759,0.8915,0.2482,0.2087,0.141,Single detached
Old East York,58.0,13194.0,9400.0,1.4036,0.8836,0.3423,0.325,0.6529,Single detached
Alderwood,20.0,13084.0,9636.0,1.3578,0.8704,0.2317,0.1884,0.6356,Single detached
Bendale South,157.0,13006.0,9370.0,1.3881,0.861,0.3323,0.3126,0.8959,Single detached
Woodbine-Lumsden,60.0,12982.0,9231.0,1.4064,0.8582,0.3358,0.3169,0.6095,Single detached
Leaside-Bennington,56.0,12932.0,9372.0,1.3798,0.8522,0.2766,0.2438,0.2278,Single detached
Centennial Scarborough,133.0,12867.0,10581.0,1.2161,0.8444,0.0792,0.0,0.5575,Single detached
Kingsway South,15.0,12825.0,9568.0,1.3404,0.8393,0.1873,0.1335,0.0,Single detached
Lawrence Park South,103.0,12767.0,9227.0,1.3836,0.8324,0.3155,0.2919,0.1518,Single detached
Danforth-East York,59.0,12575.0,8955.0,1.4043,0.8093,0.3086,0.2833,0.6095,Single detached
Highland Creek,134.0,12557.0,10600.0,1.1846,0.8072,0.137,0.0714,0.8265,Single detached
Stonegate-Queensway,16.0,12490.0,9205.0,1.3568,0.7991,0.3718,0.3614,0.5662,Single detached
Caledonia-Fairbank,109.0,12396.0,9060.0,1.3682,0.7878,0.3706,0.3599,0.8091,Single detached
Cliffcrest,123.0,12388.0,9300.0,1.332,0.7869,0.366,0.3542,0.7918,Single detached
Birchcliffe-Cliffside,122.0,12286.0,9037.0,1.3596,0.7746,0.3437,0.3267,0.6616,Single detached
Eringate-Centennial-West Deane,11.0,12259.0,9249.0,1.3255,0.7714,0.1614,0.1015,0.6529,Single detached
Rexdale-Kipling,4.0,12243.0,8839.0,1.3851,0.7695,0.4956,0.5143,0.8872,Single detached
Lambton Baby Point,114.0,12241.0,8646.0,1.4158,0.7692,0.4106,0.4093,0.5575,Single detached
Wexford/Maryvale,119.0,12206.0,8978.0,1.3595,0.765,0.4113,0.4102,0.8525,Single detached
Thistletown-Beaumond Heights,3.0,11974.0,8960.0,1.3363,0.7372,0.376,0.3666,0.9046,Single detached
Guildwood,140.0,11917.0,9106.0,1.3088,0.7303,0.2186,0.1722,0.5748,Single detached
Corso Italia-Davenport,92.0,11852.0,8347.0,1.4199,0.7225,0.3672,0.3557,0.7223,Apt low-rise
Bridle Path-Sunnybrook-York Mills,41.0,11558.0,9718.0,1.1893,0.6873,0.1152,0.0445,0.0542,Single detached
Bedford Park-Nortown,39.0,11487.0,9082.0,1.2648,0.6787,0.3189,0.2961,0.4447,Single detached
Danforth,66.0,11481.0,8017.0,1.432,0.678,0.367,0.3555,0.6095,Apt low-rise
Oakwood Village,107.0,11475.0,8291.0,1.3839,0.6773,0.4957,0.5145,0.8004,Single detached
North Riverdale,68.0,11474.0,7967.0,1.4403,0.6772,0.4169,0.4171,0.436,Apt low-rise
Maple Leaf,29.0,11473.0,8655.0,1.3257,0.6771,0.4542,0.4632,0.8091,Single detached
Parkwoods-O'Connor Hills,149.0,11401.0,8502.0,1.341,0.6684,0.5272,0.5534,0.7657,Single detached
Keelesdale-Eglinton West,110.0,11376.0,8568.0,1.3277,0.6654,0.4071,0.405,0.8959,Single detached
