rank,neighbourhood,nb_number,energy_burden_index,priority_tier,income_score,renter_score,consumption_score,age_score,est_kwh,renter_pct,dominant_type
1,Rexdale-Kipling,4.0,0.7573545879838518,Critical,0.8872,0.5143,0.7695,0.839230586559012,12243.0,0.4956,Single detached
2,Oakridge,121.0,0.7405361030634053,Critical,0.9783,0.7574,0.4299,0.6753740204227023,9413.0,0.6924,Apt high-rise
3,Bendale South,157.0,0.7339182177630016,Critical,0.8959,0.3126,0.861,0.8463547850866773,13006.0,0.3323,Single detached
4,Beechborough-Greenbrook,112.0,0.7293485989076228,Critical,0.8785,0.7264,0.5335,0.7126573260508193,10277.0,0.6673,Apt low-rise
5,Golfdale-Cedarbrae-Woburn,141.0,0.7241540916646876,Critical,0.9393,0.5219,0.6274,0.7204939444312511,11059.0,0.5017,Single detached
6,Black Creek,24.0,0.7215202457848491,Critical,0.9783,0.7342,0.391,0.6521016385656612,9089.0,0.6736,Apt high-rise
7,Rustic,28.0,0.7203207706008072,Critical,0.9349,0.6724,0.5052,0.6580384706720491,10041.0,0.6236,Apt high-rise
8,Thorncliffe Park,55.0,0.7095911315601995,Critical,0.9783,0.9634,0.1678,0.5625742104013296,7229.0,0.8592,Apt high-rise
9,Wexford/Maryvale,119.0,0.7089406138684398,Critical,0.8525,0.4102,0.765,0.7784374257895983,12206.0,0.4113,Single detached
10,Ionview,125.0,0.705912336737117,Critical,0.8785,0.6634,0.4801,0.7504155782474468,9832.0,0.6163,Apt high-rise
11,Oakwood Village,107.0,0.7035471360721918,Critical,0.8004,0.5145,0.6773,0.8363809071479454,11475.0,0.4957,Single detached
12,South Parkdale,85.0,0.7013902457848491,Critical,0.8525,0.9507,0.2701,0.6521016385656612,8082.0,0.8489,Apt high-rise
13,Thistletown-Beaumond Heights,3.0,0.7010615435763476,Critical,0.9046,0.3666,0.7372,0.7233436238423177,11974.0,0.376,Single detached
14,O`Connor Parkview,54.0,0.6999502172880551,Critical,0.8004,0.5719,0.6484,0.7649014485870335,11234.0,0.5422,Single detached
15,Oakdale-Beverley Heights,154.0,0.694074464497744,Critical,0.8872,0.6033,0.5341,0.6613630966516266,10282.0,0.5676,Apt high-rise
16,Dovercourt Village,172.0,0.6919552968416053,Critical,0.7918,0.4628,0.6515,0.9083353122773683,11260.0,0.4539,Apt low-rise
17,Caledonia-Fairbank,109.0,0.6899746402279744,Critical,0.8091,0.3599,0.7878,0.799097601519829,12396.0,0.3706,Single detached
18,Keelesdale-Eglinton West,110.0,0.6866031382094514,Critical,0.8959,0.405,0.6654,0.702920921396343,11376.0,0.4071,Single detached
19,Blake-Jones,69.0,0.6848893754452623,Critical,0.7831,0.47,0.6399,0.8888625029684156,11163.0,0.4597,Semi-detached
20,Taylor Massey,61.0,0.6843033946805983,Critical,0.9132,0.7212,0.3249,0.6877226312039891,8538.0,0.6631,Apt high-rise
21,Parkwoods-O'Connor Hills,149.0,0.683620730230349,Critical,0.7657,0.5534,0.6684,0.734504868202327,11401.0,0.5272,Single detached
22,North St. James Town,74.0,0.6824040002374732,Critical,0.8872,1.0,0.1631,0.5407266682498219,7190.0,0.8888,Apt high-rise
23,Rockcliffe-Smythe,111.0,0.6817119520303965,Critical,0.8698,0.4436,0.6016,0.7732130135359769,10844.0,0.4383,Apt high-rise
24,Broadview North,57.0,0.6741559225837093,Critical,0.7744,0.7557,0.4229,0.7231061505580622,9355.0,0.691,Apt high-rise
25,New Toronto,18.0,0.6736397328425552,Critical,0.8004,0.5965,0.568,0.6824982189503678,10564.0,0.5621,Apt low-rise
26,Palmerston-Little Italy,80.0,0.673423830444075,Critical,0.679,0.6257,0.5647,0.9211588696271666,10537.0,0.5858,Apt low-rise
27,Maple Leaf,29.0,0.6729857183566849,Critical,0.8091,0.4632,0.6771,0.6981714557112325,11473.0,0.4542,Single detached
28,Kennedy Park,124.0,0.6723563915934456,Critical,0.9219,0.4931,0.5107,0.6582759439563046,10087.0,0.4784,Apt high-rise
29,Brookhaven-Amesbury,30.0,0.672163703395868,Critical,0.8698,0.6313,0.4602,0.632391355972453,9666.0,0.5903,Apt high-rise
30,Weston,113.0,0.671910566373783,Critical,0.8612,0.6991,0.403,0.6331037758252195,9189.0,0.6452,Apt high-rise
31,Glenfield-Jane Heights,25.0,0.6695958347185941,Critical,0.9566,0.4975,0.4491,0.6542388981239606,9573.0,0.482,Apt high-rise
32,Cliffcrest,123.0,0.6693748408928996,Critical,0.7918,0.3542,0.7869,0.7131322726193303,12388.0,0.366,Single detached
33,Humewood-Cedarvale,106.0,0.6680202410353835,Critical,0.6356,0.684,0.5957,0.8375682735692235,10795.0,0.633,Apt low-rise
34,Victoria Village,43.0,0.6677846889099975,Critical,0.8785,0.6288,0.4236,0.6480645927333173,9361.0,0.5883,Apt high-rise
35,Old East York,58.0,0.6631394716219425,Critical,0.6529,0.325,0.8836,0.8831631441462833,13194.0,0.3423,Single detached
36,Weston-Pelham Park,91.0,0.6630320600807408,Critical,0.8438,0.4042,0.5843,0.8038470672049395,10700.0,0.4064,Apt low-rise
37,Corso Italia-Davenport,92.0,0.6606356934219899,Critical,0.7223,0.3557,0.7225,0.9218712894799331,11852.0,0.3672,Apt low-rise
38,Elms-Old Rexdale,5.0,0.6606122488720019,Critical,0.8698,0.455,0.5608,0.6815483258133458,10504.0,0.4476,Apt high-rise
39,Mount Olive-Silverstone-Jamestown,2.0,0.6553240322963666,Critical,0.974,0.5692,0.3652,0.5388268819757774,8874.0,0.54,Apt high-rise
40,Briar Hill-Belgravia,108.0,0.6524432343861315,Critical,0.8091,0.5447,0.514,0.69722156257421,10114.0,0.5202,Apt high-rise
41,Fenside-Parkwoods,150.0,0.6512330824032295,High,0.8351,0.7228,0.3337,0.6321538826881975,8612.0,0.6644,Apt high-rise
42,Morningside,135.0,0.6477439278081216,High,0.8698,0.4025,0.5993,0.6190928520541437,10825.0,0.4051,Single detached
43,Humbermede,22.0,0.6476036796485395,High,0.9132,0.5704,0.4057,0.5597245309902636,9212.0,0.541,Apt high-rise
44,Kingsview Village-The Westway,6.0,0.6449847969603419,High,0.8698,0.4828,0.4722,0.6786986464022793,9766.0,0.4701,Apt high-rise
45,West Hill,136.0,0.6435068606031821,High,0.8959,0.4054,0.5583,0.5934457373545476,10483.0,0.4074,Apt high-rise
46,Forest Hill North,102.0,0.6417670482070766,High,0.6529,0.7044,0.4881,0.7675136547138445,9898.0,0.6495,Apt high-rise
47,Dufferin Grove,83.0,0.6408943718831631,High,0.731,0.6252,0.4482,0.7779624792210873,9566.0,0.5854,Apt low-rise
48,Scarborough Village,139.0,0.6407896331037758,High,0.9132,0.5815,0.3568,0.5772975540251718,8804.0,0.55,Apt high-rise
49,Woodbine-Lumsden,60.0,0.6405718594158157,High,0.6095,0.3169,0.8582,0.8898123961054382,12982.0,0.3358,Single detached
50,L'Amoreaux West,147.0,0.6402055426264545,High,0.9349,0.4665,0.4492,0.5604369508430301,9574.0,0.4569,Apt high-rise
51,Eglinton East,138.0,0.6384393766326287,High,0.8959,0.5635,0.3805,0.5924958442175251,9002.0,0.5354,Apt high-rise
52,Trinity-Bellwoods,81.0,0.6373362906672999,High,0.7397,0.4511,0.553,0.8494419377819993,10439.0,0.4444,Apt low-rise
53,Mount Dennis,115.0,0.6370108869627166,High,0.8612,0.5509,0.423,0.6141059130847778,9356.0,0.5252,Apt high-rise
54,Kensington-Chinatown,78.0,0.6368436879601044,High,0.9132,0.7474,0.2304,0.4851579197340297,7751.0,0.6843,Apt high-rise
55,Newtonbrook West,36.0,0.634218988363809,High,0.9046,0.519,0.4488,0.504393255758727,9571.0,0.4994,Apt high-rise
56,University,79.0,0.6336932379482308,High,0.679,0.657,0.4423,0.8081215863215389,9517.0,0.6111,Apt low-rise
57,Bathurst Manor,34.0,0.6330060591308477,High,0.8004,0.4684,0.5585,0.6409403942056519,10485.0,0.4584,Single detached
58,Tam O'Shanter-Sullivan,118.0,0.6276613239135597,High,0.9046,0.4434,0.4701,0.5511754927570647,9748.0,0.4382,Apt high-rise
59,Lambton Baby Point,114.0,0.6265702327238185,High,0.5575,0.4093,0.7692,0.9121348848254568,12241.0,0.4106,Single detached
60,York University Heights,27.0,0.6237760436950843,High,0.9132,0.5627,0.3577,0.4937069579672286,8812.0,0.5348,Apt high-rise
61,Birchcliffe-Cliffside,122.0,0.623686234861078,High,0.6616,0.3267,0.7746,0.7786748990738538,12286.0,0.3437,Single detached
62,Woburn North,142.0,0.6234925658988363,High,0.9132,0.4717,0.4128,0.5516504393255757,9271.0,0.4611,Apt high-rise
63,Willowridge-Martingrove-Richview,7.0,0.6222977618142959,High,0.731,0.4667,0.6084,0.6511517454286392,10901.0,0.457,Apt high-rise
64,Dorset Park,126.0,0.6218032628829258,High,0.8959,0.3923,0.49,0.5844217525528377,9914.0,0.3968,Apt high-rise
65,Roncesvalles,86.0,0.6215422441225362,High,0.6269,0.5621,0.5262,0.867014960816908,10216.0,0.5343,Apt low-rise
66,Englemount-Lawrence,32.0,0.6213172013773451,High,0.8091,0.603,0.4278,0.536214675848967,9396.0,0.5674,Apt high-rise
67,Westminster-Branson,35.0,0.6196222975540252,High,0.8872,0.646,0.2721,0.5305153170268345,8098.0,0.6022,Apt high-rise
68,Danforth-East York,59.0,0.6191988185704108,High,0.6095,0.2833,0.8093,0.8848254571360722,12575.0,0.3086,Single detached
